Customer_ID,Membership_Tier,Customer_Since,Age,Gender,City,Occupation,Income_Level,Total_Transactions_6M,Total_Spend_6M,Average_Order_Value,Preferred_Brand,Reward_Utilization,Reward_Expiry_Risk,Purchase_Frequency,Loyalty_Engagement,Days_Since_Last_Purchase,Upgrade_Readiness,Customer_Health,Churn_Risk
C0180,Platinum,2021-08-04,34,Female,Ahmedabad,Doctor,Medium,5,506257,101251.4,Apple,0.26,0.28,0.83,Medium,36,No,Critical,Low
C0181,Gold,2021-09-08,58,Female,Delhi,Engineer,Low,8,728347,91043.38,Google Nest,0.41,0.04,1.33,High,9,No,Needs Attention,Low
C0182,Gold,2021-09-04,34,Male,Ahmedabad,CA,High,6,681265,113544.17,Apple,0.48,0.11,1.0,Medium,22,No,Needs Attention,Low
C0183,Silver,2025-02-26,54,Female,Hyderabad,Engineer,High,7,657729,93961.29,Sony,0.38,0.13,1.17,High,93,No,Critical,Low
C0184,Bronze,2020-02-16,22,Female,Delhi,Engineer,Medium,8,703779,87972.38,Apple,0.33,0.24,1.33,Medium,65,No,Critical,Low
C0185,Platinum,2021-03-24,60,Male,Delhi,Doctor,High,10,1043071,104307.1,Bose,0.49,0.02,1.67,High,2,No,Needs Attention,Low
C0186,Platinum,2021-03-13,50,Male,Hyderabad,Student,Medium,8,919913,114989.12,Apple,0.33,0.06,1.33,Medium,16,No,Critical,Low
C0187,Gold,2020-03-01,44,Female,Mumbai,Student,High,8,640148,80018.5,Sony,0.59,0.01,1.33,Medium,4,No,Needs Attention,Low
C0188,Gold,2024-12-26,57,Male,Mumbai,Student,High,5,495855,99171.0,Samsung,0.47,0.14,0.83,Medium,56,No,Needs Attention,Low
C0189,Silver,2020-07-09,29,Male,Bengaluru,Business,Low,7,783386,111912.29,Bose,0.41,0.05,1.17,Medium,60,No,Needs Attention,Low
C0190,Gold,2023-08-14,39,Female,Mumbai,Doctor,High,4,326714,81678.5,Samsung,0.35,0.0,0.67,Medium,40,No,Critical,Low
C0191,Silver,2022-05-29,56,Female,Pune,CA,Low,4,248588,62147.0,Samsung,0.61,0.11,0.67,Medium,0,No,Needs Attention,Low
C0192,Bronze,2021-12-07,48,Female,Ahmedabad,Doctor,Medium,8,867057,108382.12,Sony,0.65,0.02,1.33,High,17,No,Needs Attention,Low
C0193,Platinum,2019-09-23,51,Male,Pune,Student,High,10,871198,87119.8,Sony,0.38,0.08,1.67,High,15,No,Critical,Low
C0194,Gold,2020-07-22,30,Male,Pune,Manager,Medium,4,440644,110161.0,Samsung,0.34,0.29,0.67,Medium,58,No,Critical,Low
C0195,Bronze,2020-09-21,34,Female,Ahmedabad,CA,Medium,6,533699,88949.83,Apple,0.2,0.34,1.0,Medium,66,No,Critical,Low
C0196,Platinum,2025-01-07,24,Female,Ahmedabad,Engineer,Low,10,903744,90374.4,Bose,0.37,0.16,1.67,High,19,No,Critical,Low
C0197,Platinum,2022-04-28,31,Male,Bengaluru,Manager,Medium,7,584800,83542.86,Sony,0.44,0.07,1.17,High,7,No,Needs Attention,Low
C0198,Bronze,2023-10-23,36,Female,Bengaluru,CA,Medium,5,405198,81039.6,Google Nest,0.41,0.01,0.83,Medium,21,No,Needs Attention,Low
C0199,Bronze,2020-11-14,45,Male,Pune,CA,Medium,7,576918,82416.86,Bose,0.27,0.02,1.17,Medium,20,No,Critical,Low
C0200,Platinum,2022-07-22,50,Male,Delhi,Doctor,High,7,797916,113988.0,Google Nest,0.3,0.03,1.17,Medium,7,No,Critical,Low
